,Agaricus arvensis,Agaricus augustus,Agaricus campestris,Agaricus xanthodermus,Amanita caesarea,Amanita citrina,Amanita excelsa,Amanita muscaria,Amanita pantherina,Amanita phalloides,Amanita rubescens,Amanita virosa,Armillaria mellea,Boletus aereus,Boletus edulis,Boletus pinophilus,Boletus reticulatus,Cantharellus cibarius,Cantharellus pallens,Chlorophyllum rhacodes,Coprinopsis atramentaria,Coprinus comatus,Craterellus cornucopioides,Craterellus tubaeformis,Fomes fomentarius,Gyromitra esculenta,Hericium erinaceus,Hydnum repandum,Lactarius deliciosus,Lactarius deterrimus,Lactarius turpis,Lactifluus volemus,Macrolepiota mastoidea,Macrolepiota procera,Morchella esculenta,Pleurotus ostreatus,Rubroboletus satanas,Russula cyanoxantha,Russula emetica,Russula ochroleuca,Russula vesca,Suillellus luridus,Suillus luteus,Trametes versicolor,Tylopilus felleus,Xerocomellus chrysenteron,accuracy,macro avg,weighted avg
precision,0.515527950310559,0.875,0.6761363636363636,0.7114093959731543,0.9470588235294117,0.8865248226950354,0.8465909090909091,0.9259259259259259,0.796875,0.8819875776397516,0.8441558441558441,0.8957055214723927,0.828125,0.8707482993197279,0.7398843930635838,0.8359375,0.7532467532467533,0.7946428571428571,0.8212290502793296,0.8461538461538461,0.8505747126436781,0.9645390070921985,0.9537037037037037,0.9591836734693877,0.9590163934426229,0.9857142857142858,0.9698795180722891,0.89937106918239,0.7671957671957672,0.7914110429447853,0.9622641509433962,0.9085714285714286,0.827027027027027,0.875,0.9647058823529412,0.9455782312925171,0.9739130434782609,0.8588957055214724,0.9142857142857143,0.8256410256410256,0.7696629213483146,0.9041916167664671,0.8963414634146342,0.9728260869565217,0.8641975308641975,0.8988095238095238,0.8605924470026675,0.864247094768913,0.8617199460928767
recall,0.50920245398773,0.8641975308641975,0.7168674698795181,0.6928104575163399,0.92,0.8389261744966443,0.8232044198895028,0.9259259259259259,0.884393063583815,0.8554216867469879,0.7926829268292683,0.9182389937106918,0.8617886178861789,0.8,0.7901234567901234,0.823076923076923,0.7295597484276729,0.7606837606837606,0.8963414634146342,0.825,0.9024390243902439,0.8831168831168831,0.9716981132075472,0.9494949494949495,0.9590163934426229,0.971830985915493,0.9698795180722891,0.9166666666666666,0.8011049723756906,0.7588235294117647,0.95625,0.9578313253012049,0.8547486033519553,0.7628205128205128,0.9820359281437125,0.9084967320261438,0.875,0.7777777777777778,0.8951048951048951,0.9252873563218391,0.8154761904761905,0.9151515151515152,0.9545454545454546,0.9781420765027322,0.8974358974358975,0.9151515151515152,0.8605924470026675,0.8626906932590307,0.8605924470026675
f1-score,0.5123456790123457,0.8695652173913043,0.695906432748538,0.7019867549668874,0.9333333333333333,0.8620689655172413,0.834733893557423,0.9259259259259259,0.8383561643835616,0.8685015290519877,0.8176100628930818,0.906832298136646,0.8446215139442231,0.8338762214983714,0.764179104477612,0.8294573643410853,0.7412140575079872,0.777292576419214,0.8571428571428571,0.8354430379746836,0.8757396449704142,0.9220338983050848,0.9626168224299065,0.9543147208121827,0.9590163934426229,0.9787234042553191,0.9698795180722891,0.9079365079365079,0.7837837837837838,0.7747747747747747,0.9592476489028213,0.9325513196480938,0.8406593406593407,0.815068493150685,0.973293768545994,0.9266666666666666,0.9218106995884774,0.8163265306122449,0.9045936395759717,0.8726287262872628,0.791907514450867,0.9096385542168675,0.9245283018867925,0.9754768392370572,0.8805031446540881,0.9069069069069069,0.8605924470026675,0.8628482729129857,0.8605246204541755
support,163.0,162.0,166.0,153.0,175.0,149.0,181.0,162.0,173.0,166.0,164.0,159.0,123.0,160.0,162.0,130.0,159.0,117.0,164.0,160.0,82.0,154.0,106.0,99.0,122.0,142.0,166.0,156.0,181.0,170.0,160.0,166.0,179.0,156.0,167.0,153.0,128.0,180.0,143.0,174.0,168.0,165.0,154.0,183.0,156.0,165.0,0.8605924470026675,7123.0,7123.0
