,Agaricus arvensis,Agaricus augustus,Agaricus campestris,Agaricus xanthodermus,Amanita caesarea,Amanita citrina,Amanita excelsa,Amanita muscaria,Amanita pantherina,Amanita phalloides,Amanita rubescens,Amanita virosa,Armillaria mellea,Boletus aereus,Boletus edulis,Boletus pinophilus,Boletus reticulatus,Cantharellus cibarius,Cantharellus pallens,Chlorophyllum rhacodes,Coprinopsis atramentaria,Coprinus comatus,Craterellus cornucopioides,Craterellus tubaeformis,Fomes fomentarius,Gyromitra esculenta,Hericium erinaceus,Hydnum repandum,Lactarius deliciosus,Lactarius deterrimus,Lactarius turpis,Lactifluus volemus,Macrolepiota mastoidea,Macrolepiota procera,Morchella esculenta,Pleurotus ostreatus,Rubroboletus satanas,Russula cyanoxantha,Russula emetica,Russula ochroleuca,Russula vesca,Suillellus luridus,Suillus luteus,Trametes versicolor,Tylopilus felleus,Xerocomellus chrysenteron,accuracy,macro avg,weighted avg
precision,0.5029239766081871,0.8860759493670886,0.7005988023952096,0.723404255319149,0.9470588235294117,0.8421052631578947,0.8497109826589595,0.9202453987730062,0.8241758241758241,0.8392857142857143,0.8125,0.875,0.8174603174603174,0.8666666666666667,0.7654320987654321,0.8102189781021898,0.7435897435897436,0.7876106194690266,0.8192090395480226,0.8506493506493507,0.8505747126436781,0.9642857142857143,0.9196428571428571,0.9587628865979382,0.9590163934426229,0.965034965034965,0.9642857142857143,0.9102564102564102,0.7631578947368421,0.7961783439490446,0.95,0.9239766081871345,0.8415300546448088,0.8676470588235294,0.9644970414201184,0.9517241379310345,0.9658119658119658,0.8342857142857143,0.9078014184397163,0.8473684210526315,0.7916666666666666,0.8786127167630058,0.9230769230769231,0.9675675675675676,0.8554216867469879,0.8869047619047619,0.8580654218728064,0.8607176182656421,0.8587055094501118
recall,0.5276073619631901,0.8641975308641975,0.7048192771084337,0.6666666666666666,0.92,0.8590604026845637,0.8121546961325967,0.9259259259259259,0.8670520231213873,0.8493975903614458,0.7926829268292683,0.9245283018867925,0.8373983739837398,0.8125,0.7654320987654321,0.8538461538461538,0.7295597484276729,0.7606837606837606,0.8841463414634146,0.81875,0.9024390243902439,0.8766233766233766,0.9716981132075472,0.9393939393939394,0.9590163934426229,0.971830985915493,0.9759036144578314,0.9102564102564102,0.8011049723756906,0.7352941176470589,0.95,0.9518072289156626,0.8603351955307262,0.7564102564102564,0.9760479041916168,0.9019607843137255,0.8828125,0.8111111111111111,0.8951048951048951,0.9252873563218391,0.7916666666666666,0.9212121212121213,0.935064935064935,0.9781420765027322,0.9102564102564102,0.9030303030303031,0.8580654218728064,0.8602221711534319,0.8580654218728064
f1-score,0.5149700598802395,0.875,0.7027027027027027,0.6938775510204082,0.9333333333333333,0.8504983388704319,0.8305084745762712,0.9230769230769231,0.8450704225352113,0.844311377245509,0.8024691358024691,0.8990825688073395,0.8273092369477911,0.8387096774193549,0.7654320987654321,0.8314606741573034,0.7365079365079366,0.7739130434782608,0.8504398826979472,0.8343949044585988,0.8757396449704142,0.9183673469387755,0.944954128440367,0.9489795918367347,0.9590163934426229,0.968421052631579,0.9700598802395209,0.9102564102564102,0.7816711590296496,0.764525993883792,0.95,0.9376854599406528,0.850828729281768,0.8082191780821918,0.9702380952380952,0.9261744966442953,0.9224489795918367,0.8225352112676056,0.9014084507042254,0.8846153846153846,0.7916666666666666,0.8994082840236687,0.9290322580645162,0.9728260869565217,0.8819875776397516,0.8948948948948949,0.8580654218728064,0.8599789064688131,0.8579007031521209
support,163.0,162.0,166.0,153.0,175.0,149.0,181.0,162.0,173.0,166.0,164.0,159.0,123.0,160.0,162.0,130.0,159.0,117.0,164.0,160.0,82.0,154.0,106.0,99.0,122.0,142.0,166.0,156.0,181.0,170.0,160.0,166.0,179.0,156.0,167.0,153.0,128.0,180.0,143.0,174.0,168.0,165.0,154.0,183.0,156.0,165.0,0.8580654218728064,7123.0,7123.0
